matricula_id,aula_id,concluida,data_conclusao,tempo_assistido_minutos
1901,781,True,2025-01-05 02:19:08,38
1901,711,True,2025-10-23 05:31:57,20
1901,122,True,2025-05-16 20:13:13,2
1901,597,False,,0
1901,114,True,2025-02-12 21:50:12,1
1901,400,False,,0
1901,909,True,2025-08-06 23:28:42,6
1901,798,True,2025-07-28 12:05:41,41
1901,519,False,,0
1901,132,True,2025-03-15 16:39:13,8
1901,980,True,2025-08-22 20:55:19,29
1901,718,True,2025-02-03 08:23:00,23
1901,676,True,2025-08-14 21:24:56,28
1901,911,True,2025-02-16 23:46:42,23
1901,492,False,,0
1901,743,False,,0
1901,770,False,,0
1901,679,False,,0
1901,827,False,,0
1901,334,False,,0
1901,35,False,,0
1901,648,False,,0
1901,405,True,2025-07-28 12:44:57,41
1901,659,True,2025-07-05 17:26:55,38
1901,513,False,,0
1901,252,True,2024-10-19 22:15:52,39
1901,660,False,,0
1901,761,False,,0
1901,952,True,2024-08-17 12:34:44,4
1901,746,True,2025-04-18 21:56:04,45
1901,255,True,2024-10-26 09:04:16,17
1901,161,True,2024-09-07 10:43:02,34
1901,961,True,2024-12-04 06:40:26,29
1901,187,True,2025-07-01 08:14:45,28
1901,969,False,,0
1901,170,True,2024-11-28 01:54:37,45
1901,566,True,2025-10-06 08:03:44,12
1901,430,True,2025-01-24 02:45:05,17
1901,727,True,2024-09-12 00:27:43,11
1901,482,False,,0
1901,810,True,2025-05-10 04:33:04,23
1901,993,False,,0
1901,898,True,2024-10-13 20:07:19,45
1901,876,False,,0
1901,411,False,,0
1901,868,False,,0
1901,208,True,2025-01-18 15:46:55,2
1901,309,False,,0
1901,619,True,2025-03-02 06:50:08,15
1901,97,False,,0
1901,924,False,,0
1901,596,False,,0
1901,706,True,2024-10-30 23:24:19,18
1901,895,False,,0
1901,747,True,2024-09-15 23:31:10,5
1901,95,False,,0
1901,928,True,2024-08-28 07:36:26,32
1901,134,True,2025-06-17 03:05:14,5
1901,533,False,,0
1901,284,True,2025-02-10 07:50:16,3
1901,211,True,2024-08-26 04:33:50,44
1901,436,True,2024-10-15 13:03:35,41
1901,896,True,2025-10-09 19:19:26,8
1901,511,True,2025-04-26 16:24:53,39
1901,301,True,2025-01-01 04:32:27,33
1901,655,True,2025-03-01 01:08:09,31
1901,67,False,,0
1901,256,False,,0
1901,428,True,2025-09-13 09:02:46,6
1901,857,True,2024-09-03 10:51:09,7
1901,576,False,,0
1901,686,False,,0
1901,496,False,,0
1901,315,True,2024-08-31 23:09:06,11
1901,734,True,2025-04-29 22:01:00,41
1901,276,True,2024-11-01 21:25:10,8
1901,987,False,,0
1901,302,False,,0
1901,133,False,,0
1901,149,True,2024-10-14 00:44:37,11
1901,667,False,,0
1901,488,False,,0
1901,537,True,2025-06-20 09:14:11,17
1901,118,False,,0
1901,338,True,2024-11-19 21:36:55,20
1901,182,False,,0
1901,355,True,2025-06-20 13:41:43,3
1901,435,True,2025-09-15 07:40:26,40
1901,333,False,,0
1901,253,True,2024-12-12 12:52:07,39
1901,38,False,,0
1901,54,True,2024-10-15 00:41:04,12
1901,343,False,,0
1901,462,True,2025-02-02 08:54:51,41
1901,752,False,,0
1901,17,True,2025-01-30 01:18:57,12
1901,48,False,,0
1901,168,True,2025-07-15 14:51:07,2
1901,771,False,,0
1901,71,False,,0
1901,146,False,,0
1901,120,False,,0
1901,144,False,,0
1901,769,True,2025-02-25 03:00:52,36
1901,524,False,,0
1901,61,False,,0
1901,723,True,2025-08-14 16:39:27,1
1901,328,True,2025-03-14 12:33:54,39
1901,317,False,,0
1901,130,True,2024-10-27 14:20:31,26
1901,263,False,,0
1901,703,False,,0
1901,544,False,,0
1901,809,True,2024-10-09 16:36:50,27
1901,388,False,,0
